City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,tuktoyaktuk,CA,2023-01-29 13:35:58,82.3851,-121.7431,54,99,-29.16399999999998,4.3
1,busselton,AU,2023-01-30 04:35:58,-80.0109,84.6578,60,92,-39.27999999999999,3.06
2,zomin,UZ,2023-01-30 02:35:59,39.8989,68.4488,70,68,40.85600000000003,0.92
3,san patricio,MX,2023-01-29 14:35:59,15.7454,-106.7224,1,77,77.37799999999996,4.25
4,tsihombe,MG,2023-01-30 00:36:12,-40.2977,47.9833,85,62,54.51799999999999,11.88
5,atuona,PF,2023-01-29 11:36:12,3.1325,-146.7243,24,83,77.61199999999997,6.76
6,hilo,US,2023-01-30 11:36:00,5.503,-159.7929,11,76,79.25,5.99
7,satitoa,WS,2023-01-29 10:36:13,-14.947,-168.5494,5,71,83.39000000000001,5.01
8,khatanga,RU,2023-01-30 04:36:02,76.9359,96.5319,100,96,-12.604000000000006,4.18
9,nantucket,US,2023-01-29 16:36:14,36.6246,-70.1969,100,67,65.39000000000001,10.15
10,plouzane,FR,2023-01-29 22:36:14,48.0791,-4.9572,64,82,47.65999999999998,5.82
11,georgetown,SH,2023-01-29 20:36:15,-14.5454,-17.7077,5,77,76.08200000000002,7.14
12,new norfolk,AU,2023-01-30 05:36:16,-72.5138,129.7015,47,85,-18.058000000000007,2.14
13,ilulissat,GL,2023-01-29 18:36:16,81.1595,-41.4272,100,100,-26.194000000000024,7.04
14,butaritari,KI,2023-01-30 09:36:17,10.0993,165.3182,15,78,80.726,11.41
15,arraial do cabo,BR,2023-01-29 20:36:18,-54.4616,-21.3326,100,92,38.101999999999975,8.62
16,abu dhabi,AE,2023-01-30 01:36:18,23.6407,55.2878,0,64,64.43599999999998,1.8
17,mataura,PF,2023-01-29 11:36:19,-69.4403,-156.4082,88,87,29.803999999999952,4.62
18,punta arenas,CL,2023-01-29 14:36:20,-71.1206,-99.5403,3,84,17.6,2.33
19,gizo,SB,2023-01-30 07:36:20,-10.1871,156.3781,100,79,82.058,6.1
20,tasiilaq,GL,2023-01-29 18:36:21,82.9048,-35.2197,100,95,-20.991999999999997,2.2
21,ushuaia,AR,2023-01-29 18:36:21,-65.3414,-62.938,100,95,3.722000000000037,1.35
22,bileca,BA,2023-01-29 22:36:22,42.8685,18.6491,69,81,27.57200000000004,1.51
23,cassilandia,BR,2023-01-29 18:36:23,-18.9222,-51.8967,91,94,69.18800000000005,1.56
24,ribeira grande,PT,2023-01-29 19:36:23,39.2867,-36.3529,100,73,62.042,5.78
25,salekhard,RU,2023-01-30 02:36:24,65.9516,66.1926,100,98,0.10400000000000276,3.1
26,cape town,ZA,2023-01-29 20:36:24,-66.2692,-8.9708,100,85,31.477999999999962,7.24
27,saint-augustin,CA,2023-01-29 17:36:25,56.1531,-61.5388,5,81,-18.85,4.86
28,kapaa,US,2023-01-29 10:36:25,28.9372,-171.1735,7,63,64.81400000000004,4.91
29,mys shmidta,RU,2023-01-29 09:36:26,85.187,-174.5504,100,94,-19.516000000000012,3.25
30,mananjary,MG,2023-01-30 00:36:27,-22.3661,51.5817,87,78,82.74199999999999,3.86
31,kamenka,RU,2023-01-30 00:36:27,66.076,43.0472,99,92,21.361999999999952,5.48
32,aksu,CN,2023-01-30 05:36:28,38.7516,80.5049,100,42,25.951999999999977,1.53
33,dikson,RU,2023-01-30 02:36:28,76.5742,75.1708,73,99,-25.798000000000023,3.9
34,albany,AU,2023-01-30 03:36:29,-72.9237,100.8487,17,77,-22.68399999999999,4.1
35,challapata,BO,2023-01-29 17:36:30,-19.066,-66.5844,78,83,43.19600000000005,2.18
36,provideniya,RU,2023-01-29 09:36:31,45.2829,-175.7681,3,66,42.998000000000026,6.05
37,dunedin,NZ,2023-01-30 09:36:31,-55.5923,179.4724,19,86,48.23599999999997,10.16
38,vaitupu,WF,2023-01-29 09:36:32,2.9138,-177.5751,19,79,81.17599999999999,8.1
39,ostrovnoy,RU,2023-01-30 00:36:32,67.8101,40.2867,100,84,27.283999999999992,7.62
40,barentsburg,SJ,2023-01-29 21:36:33,86.066,-4.5656,98,97,-22.036000000000023,6.67
41,hamilton,BM,2023-01-29 17:36:33,26.9243,-64.0931,61,79,72.93200000000002,6.65
42,myrtle beach,US,2023-01-29 16:36:34,32.1896,-77.9576,87,73,71.76199999999996,9.96
43,saryshagan,KZ,2023-01-30 03:36:34,45.8536,73.4129,28,78,9.014000000000031,5.65
44,tuatapere,NZ,2023-01-30 07:36:35,-59.5369,156.4567,100,94,39.88399999999999,14.55
45,fort smith,US,2023-01-29 15:36:35,35.0389,-94.3066,100,85,31.60399999999995,2.06
46,guerrero negro,MX,2023-01-29 12:36:35,14.5126,-130.6711,10,74,74.084,8.55
47,dorogobuzh,RU,2023-01-30 00:36:36,54.8566,33.1412,100,94,27.032000000000018,6.42
48,novyy buh,UA,2023-01-29 23:36:37,47.5257,32.6156,8,84,25.609999999999978,2.05
49,nurota,UZ,2023-01-30 02:36:37,41.9108,64.6728,98,62,33.908,3.39
50,allonnes,FR,2023-01-29 22:36:37,47.9689,-0.0309,100,87,39.30800000000001,2.57
51,kruisfontein,ZA,2023-01-30 00:36:38,-77.022,28.7366,100,100,-28.300000000000004,2.43
52,gondanglegi,ID,2023-01-30 05:36:38,-8.7276,112.5559,100,79,81.734,6.21
53,touros,BR,2023-01-29 19:36:39,1.8787,-24.8385,78,75,79.84399999999997,2.86
54,shizunai,JP,2023-01-30 06:36:39,41.5802,143.43,33,67,27.57200000000004,1.48
55,klaksvik,FO,2023-01-29 21:36:40,68.2194,-3.8817,100,77,27.80600000000003,14.37
56,katsuura,JP,2023-01-30 07:36:40,28.9447,144.8071,71,61,62.25800000000001,9.57
57,hualmay,PE,2023-01-29 15:36:40,-20.6409,-93.9824,13,73,73.292,5.18
58,hermanus,ZA,2023-01-29 22:36:41,-66.4057,10.209,100,95,32.63000000000004,5.46
59,nikolskoye,RU,2023-01-30 08:36:41,51.2817,165.8194,100,83,33.08000000000004,19.01
60,mar del plata,AR,2023-01-29 19:36:42,-66.6008,-26.6445,100,98,30.77599999999999,4.4
61,magna,US,2023-01-29 14:36:42,40.6838,-112.1784,100,76,12.97400000000001,5.66
62,sabzevar,IR,2023-01-30 01:06:42,35.778,58.0464,99,62,36.69800000000002,5.4
63,chacabuco,AR,2023-01-29 18:36:43,-34.3448,-60.3522,74,85,65.30000000000001,3.27
64,salgado,BR,2023-01-29 18:36:43,-11.098,-37.5341,64,96,70.06999999999996,0.2
65,santa vitoria do palmar,BR,2023-01-29 18:36:44,-33.8939,-52.2686,70,80,74.03000000000004,8.03
66,kerema,PG,2023-01-30 07:36:44,-8.8499,144.8338,69,69,85.65800000000002,4.15
67,longyearbyen,SJ,2023-01-29 22:36:45,75.3385,17.6714,100,81,29.714000000000034,17.21
68,yefira,GR,2023-01-29 23:36:45,36.5856,23.4814,100,66,52.483999999999995,9.83
69,bluff,NZ,2023-01-30 07:36:45,-67.6946,154.2454,100,97,30.848000000000024,7.69
70,houston,CA,2023-01-29 13:36:46,53.1571,-126.7478,24,87,8.006000000000029,0.25
71,lompoc,US,2023-01-29 12:36:46,22.2318,-134.2903,14,66,66.65,8.07
72,sentyabrskiy,RU,2023-01-30 08:36:47,28.2079,162.2735,36,90,72.96799999999999,7.3
73,tunduru,TZ,2023-01-30 00:36:47,-10.2006,36.988,4,77,73.59800000000003,2.9
74,port alfred,ZA,2023-01-30 00:36:47,-65.2827,44.5823,100,78,31.675999999999988,4.81
75,alice springs,AU,2023-01-30 07:06:48,-22.737,136.0836,100,62,83.01199999999996,3.18
76,meulaboh,ID,2023-01-30 03:36:49,1.0364,95.5839,86,71,82.92200000000004,2.6
77,souillac,MU,2023-01-30 02:36:49,-40.9636,69.2542,85,92,61.556000000000026,4.19
78,nivala,FI,2023-01-29 23:36:49,63.7061,25.5218,100,98,32.648000000000025,3.5
79,arlit,NE,2023-01-29 22:36:50,22.1242,6.8655,16,19,49.53200000000002,3.05
80,muros,ES,2023-01-29 20:36:50,46.08,-15.9132,100,67,54.57200000000004,1.68
81,rikitea,PF,2023-01-30 10:36:51,-87.7797,-128.8787,98,97,-15.970000000000013,3.34
82,marolambo,MG,2023-01-30 00:36:51,-20.2991,48.299,50,54,88.358,0.83
83,barrow,US,2023-01-29 10:36:52,73.1613,-162.8532,74,97,-6.304000000000002,5.27
84,svetlyy,RU,2023-01-30 03:36:52,49.0182,63.1359,57,90,6.925999999999988,1.98
85,baruun-urt,MN,2023-01-30 05:36:52,44.7792,114.5873,14,66,14.053999999999949,4.95
86,saintes,FR,2023-01-29 22:36:53,45.6006,-0.7976,42,77,23.251999999999974,0.29
87,talnakh,RU,2023-01-30 04:36:53,73.6413,88.8422,85,100,-33.73600000000002,1.54
88,constitucion,MX,2023-01-29 13:36:54,23.1129,-113.904,100,65,64.88599999999997,2.54
89,kutum,SD,2023-01-29 23:36:54,16.3081,24.5399,100,11,70.7,3.07
90,port augusta,AU,2023-01-30 08:06:54,-29.171,137.6754,73,45,87.85399999999996,5.9
91,sitka,US,2023-01-29 12:36:55,54.5053,-134.876,100,82,42.09800000000003,4.09
92,yellowknife,CA,2023-01-29 14:36:55,88.2363,-98.5958,80,100,-24.070000000000014,4.4
93,lagos,NG,2023-01-29 22:36:56,6.4951,3.3479,20,94,77.52200000000005,1.54
94,costa rica,BR,2023-01-29 17:36:56,-23.1295,-54.7701,91,97,68.73800000000006,1.9
95,bengkulu,ID,2023-01-30 03:36:56,-15.2312,86.2812,65,72,79.06999999999996,8.11
96,cabo san lucas,MX,2023-01-29 14:36:57,23.3133,-108.5557,67,63,69.16999999999996,3.03
97,bredasdorp,ZA,2023-01-29 21:36:57,-77.0606,20.5659,100,100,-25.18600000000002,3.81
98,pacific grove,US,2023-01-29 12:36:58,29.9512,-132.4696,0,65,60.92599999999999,8.98
99,comodoro rivadavia,AR,2023-01-29 17:36:58,-48.9329,-62.668,22,84,58.80199999999998,6.1
100,carora,VE,2023-01-29 17:36:58,9.8784,-70.2527,8,83,64.11199999999997,0.8
101,avarua,CK,2023-01-29 10:36:59,-58.7543,-167.0949,100,79,41.522000000000034,15.2
102,vaini,TO,2023-01-29 09:36:59,-26.7456,-173.3269,94,85,77.26999999999995,10.65
103,qaanaaq,GL,2023-01-29 15:37:00,85.4947,-94.2181,75,98,-27.904000000000003,4.85
104,katra,IN,2023-01-30 03:07:00,33.2008,74.7981,100,95,47.48000000000004,0.84
105,salalah,OM,2023-01-30 01:37:01,11.5298,59.2915,34,57,75.84800000000003,6.82
106,lincoln,NZ,2023-01-30 09:37:01,-46.8786,174.764,38,92,60.674000000000014,3.99
107,taolanaro,MG,2023-01-30 02:37:01,-68.8955,60.8659,46,81,-5.800000000000004,4.55
108,russell,NZ,2023-01-30 09:37:02,-32.2041,175.8159,100,88,71.6,11.86
