City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,oak ridge,US,2023-01-31 17:48:41,36.1376,-84.5159,100,95,33.188000000000045,1.96
1,buraydah,SA,2023-02-01 01:48:41,26.4193,44.9508,0,43,59.935999999999964,3.44
2,hithadhoo,MV,2023-02-01 04:48:42,-6.8497,70.8434,25,79,80.99600000000005,6.58
3,korla,CN,2023-02-01 06:48:42,37.6242,87.6527,100,57,13.69399999999997,4.84
4,bluff,NZ,2023-02-01 11:48:43,-75.5773,169.7714,11,53,24.548000000000023,5.37
5,san carlos de bariloche,AR,2023-01-31 19:48:43,-42.5346,-71.0071,0,46,57.092,2.16
6,saint-philippe,RE,2023-02-01 02:48:44,-36.04,57.9966,100,61,62.492,8.69
7,konstantinovo,RU,2023-02-01 01:48:44,56.5161,37.972,100,96,24.548000000000023,2.77
8,albany,AU,2023-02-01 04:48:45,-71.6173,99.1636,80,78,-22.054000000000002,4.6
9,chuy,UY,2023-01-31 20:48:45,-52.4114,-30.0634,6,88,38.96600000000001,7.45
10,ponta do sol,CV,2023-01-31 19:48:45,24.944,-40.7139,33,81,71.56400000000004,6.85
11,punta arenas,CL,2023-01-31 16:48:46,-57.6314,-84.0836,100,88,43.43000000000004,11.25
12,rikitea,PF,2023-01-31 13:48:46,-79.0901,-135.0203,100,99,12.793999999999972,0.49
13,bredasdorp,ZA,2023-02-01 01:48:47,-84.4721,28.0308,88,92,-25.725999999999992,3.01
14,yellowknife,CA,2023-01-31 15:48:47,89.9068,-105.9485,100,100,-26.30199999999998,3.93
15,vaini,TO,2023-01-31 10:48:48,-34.9539,-177.0774,100,87,68.16199999999995,9.66
16,barrow,US,2023-01-31 11:48:48,79.6836,-158.7314,20,100,-23.746000000000002,2.56
17,padang,ID,2023-02-01 04:48:48,-5.9855,90.9662,100,81,81.31999999999996,10.61
18,hoi an,VN,2023-02-01 05:48:49,16.5442,109.2926,86,78,74.62400000000002,4.17
19,raudeberg,NO,2023-01-31 22:48:49,64.6037,2.1447,100,81,38.93000000000004,6.93
20,margate,ZA,2023-02-01 01:48:50,-39.7408,38.8464,100,59,64.20199999999997,5.55
21,znamenskoye,RU,2023-02-01 04:48:50,57.4757,73.4775,19,87,15.025999999999986,3.23
22,port alfred,ZA,2023-02-01 01:48:51,-66.639,37.958,100,99,31.748000000000026,6.22
